Topic.Label.PollCloseAfterDays,Đóng cuộc thăm dò ý kiến sau số ngày được chỉ định? Sau 0 ngày sẽ đóng
Topic.Label.SubscribeToTopic,Nhận thông báo về tin phản hồi?
Topic.Label.Tags,Thêm Tag
Topic.Label.TopicTitle,Tiêu đề
Topic.Label.UploadFiles,Tải lên tệp
Topic.LastPost,Bài đăng mới
Topic.LatestBy,Đăng từ:
Topic.Notification.NewTopics,Một chủ đề hoặc tag đã được tạo trong danh mục {0}
Topic.Notification.Subject,Thảo luận Mới trên
Topic.OptionsHeading,Tùy chọn chủ đề
Topic.PollClosed,Đã đóng
Topic.ShowMorePosts,Hiên thị thêm bài đăng
Topic.ShowMorePostsLoading,Đang tải bài viết...
Topic.StartedBy,Bắt đầu {0} bởi {1}
Topic.Subscribe,Theo dõi
Topic.TagThisTopic,Gắn tag chủ đề này
Topic.TitleFallBack,Chủ đề Thảo luận
Topic.UnSubscribe,Hủy theo dõi
Topic.Views,Lượt xem
Topic.Votes,Lượt bình chọn
Twitter.Error.EnabledButNotAddedKeys,Bạn đã bật đăng nhập xã hội nhưng chưa thêm id Twitter và khóa bí mật trong forum.config
Post.Errors.NoInputPostContent,Vui lòng nhập nội dung bài viết
Post.IsTrustedUser,Chuyên gia
